Typ,Kauf,Kcur,Verkauf,Vcur,Gebuhr,Gcur,Datum,Index,Trade Gruppe,Kommentar,Trade ID
Mining,1.00012088,BTC,0.0,,0.0,,25.10.2012 00:28,27,,,18iMatmJVZWeczM2iU1jFaMpkBhtoYaPLM0.01a08965015adc4bb3480eed1ee24f3bf729d26014d237dcebf5e579bd2e44783
Mining,1.00097658,BTC,0.0,,0.0,,28.10.2012 07:58,28,,,18iMatmJVZWeczM2iU1jFaMpkBhtoYaPLM0.02427034d3efa9634eeb3c0e617de06fcb687796768f813c32be570344e7293a1
Mining,1.00128821,BTC,0.0,,0.0,,06.11.2012 00:36,29,,,18iMatmJVZWeczM2iU1jFaMpkBhtoYaPLM0.0d3cef812f8d1e07849a28f0231c07755a15958229d7bf691e2d7540484b91c76
Mining,1.00057242,BTC,0.0,,0.0,,09.11.2012 19:32,30,,,18iMatmJVZWeczM2iU1jFaMpkBhtoYaPLM0.01b081df9d3111fbbdf8fee1172aefc846e1ada10205518d5e9ad37ea87b2f53c
Mining,1.00973459,BTC,0.0,,0.0,,13.11.2012 23:52,31,,,18iMatmJVZWeczM2iU1jFaMpkBhtoYaPLM0.0ba1a7c2bb4a9efe5d917cc262625af233ded6994cb6369d368e43376fc2c76a9
Mining,1.01026630,BTC,0.0,,0.0,,20.11.2012 14:51,32,,,18iMatmJVZWeczM2iU1jFaMpkBhtoYaPLM0.03ceffd1bbdeee869e5708da66152cdbbdb03642a13810f04a82724c7fd366676
Mining,1.00788059,BTC,0.0,,0.0,,25.11.2012 05:16,33,,,18iMatmJVZWeczM2iU1jFaMpkBhtoYaPLM0.0428c18afe861963fe161ec9263ff081b6eca9e253bcadbc5e8b6e66c8e9f1320
Mining,1.00338336,BTC,0.0,,0.0,,28.11.2012 16:40,34,,,18iMatmJVZWeczM2iU1jFaMpkBhtoYaPLM0.096c7cfb0fd05b511313fbf38c0dcf02ed2f39b8c0972a809184f1201f604e2c5
Auszahlung,0.0,,1.20850000,BTC,0.0,,05.12.2012 19:38,35,,,126jQwnyroex7j95pa2g5qpmvNuPdgwcqM0.0aa52880bb5fdeb0b0c267ba23215438e57d613e32cc0aacffccd70bbfc168ce3
Mining,1.00616783,BTC,0.0,,0.0,,07.12.2012 18:13,36,,,18iMatmJVZWeczM2iU1jFaMpkBhtoYaPLM0.08a9ca7a053a54b64244652697dc0936f7e27698e883dc35b9e1dd6c5cdc2c59a
Mining,1.00873961,BTC,0.0,,0.0,,17.12.2012 10:46,37,,,18iMatmJVZWeczM2iU1jFaMpkBhtoYaPLM0.06b9cc3bb792a50c10279f8ee28a82b9744ea14c3edfd74b1742eca9151f4fa22
